id	fragment_scans	mz	rt	height	has_MSMS_scan
7	2	117.96974	1.0338	876800	TRUE
8	2	158.97248	1.0337	847600	TRUE
9	2	141.98334	1.0371	1057000	TRUE
10	2	141.99359	1.0337	1109000	TRUE
11	6	139.98791	1.0415	2653000	TRUE
12	2	199.99913	1.0337	829200	TRUE
13	10	143.95898	1.0531	3559000	TRUE
14	7	100.96697	1.0425	2687000	TRUE
15	2	145.95447	1.0327	1222000	TRUE
16	6	161.96959	1.0322	1556000	TRUE
17	6	162.96743	1.0398	3378000	TRUE
18	2	115.96405	1.0377	859000	TRUE
19	0	185.98879	1.0377	773300	FALSE
20	7	116.9619	1.0347	1586000	TRUE
21	5	117.97971	1.0377	1001000	TRUE
22	14	116.97187	1.0355	1542000	TRUE
23	4	121.94087	1.0402	2499000	TRUE
24	4	139.95145	1.0377	1523000	TRUE
25	7	140.99576	1.042	1834000	TRUE
26	12	186.98099	1.069	5166000	TRUE
27	2	140.98576	1.0358	1149000	TRUE
28	16	184.98553	1.0681	12500000	TRUE
30	1	142.99118	1.0358	812500	TRUE
31	1	188.97855	1.0358	726400	TRUE
53	7	112.00618	1.0674	115400000	TRUE
55	422	130.0168	1.0712	74700000	TRUE
58	40	111.00944	1.0671	105400000	TRUE
63	273	110.00863	1.0683	826700000	TRUE
64	39	100.02428	1.0685	14550000	TRUE
65	230	128.01923	1.0692	492100000	TRUE
66	29	182.9623	1.0729	13840000	TRUE
68	349	129.02005	1.0707	65390000	TRUE
69	0	201.97635	1.0663	3041000	FALSE
72	2	124.0408	1.0712	3384000	TRUE
73	30	152.03852	1.0685	26160000	TRUE
74	220	156.01417	1.0699	57760000	TRUE
80	38	142.03492	1.074	12640000	TRUE
81	37	146.02983	1.0672	9494000	TRUE
83	21	223.98895	1.0683	68120000	TRUE
84	15	147.01385	1.0698	7230000	TRUE
86	29	165.05088	1.0698	8386000	TRUE
88	55	107.00077	1.0685	19830000	TRUE
96	22	218.98366	1.0678	122400000	TRUE
98	26	111.01194	1.0689	26680000	TRUE
101	34	170.0298	1.0689	10440000	TRUE
102	30	152.03606	1.0676	65700000	TRUE
104	44	200.9729	1.0703	77740000	TRUE
105	18	169.0458	1.0709	6845000	TRUE
106	29	114.98758	1.0687	32250000	TRUE
109	20	241.99963	1.0694	101600000	TRUE
111	14	201.97412	1.0691	20280000	TRUE
112	9	116.98515	1.071	3863000	TRUE
118	32	105.00322	1.0722	116300000	TRUE
119	28	132.99818	1.0696	54340000	TRUE
121	28	123.04031	1.0684	21310000	TRUE
122	31	151.03524	1.0708	487300000	TRUE
123	49	124.02433	1.0724	16420000	TRUE
124	40	106.00402	1.0717	16060000	TRUE
127	35	129.02242	1.0705	16140000	TRUE
136	17	153.03279	1.0751	70720000	TRUE
144	242	216.95063	1.074	88210000	TRUE
147	5	106.96311	1.082	3334000	TRUE
155	35	239.96662	1.0765	54390000	TRUE
161	71	126.98959	1.0801	9004000	TRUE
162	4	149.9528	1.0877	3660000	TRUE
165	14	140.00191	1.0827	4200000	TRUE
166	32	185.98338	1.0652	15630000	TRUE
171	35	129.97912	1.0803	6807000	TRUE
173	56	130.96515	1.0839	17480000	TRUE
177	36	148.97574	1.0866	6553000	TRUE
179	39	125.98623	1.0843	266700000	TRUE
180	38	171.99166	1.0794	10120000	TRUE
181	43	102.9702	1.0848	96300000	TRUE
183	232	214.91761	1.0842	27110000	TRUE
184	234	143.99682	1.0838	23200000	TRUE
185	47	120.98079	1.0817	14480000	TRUE
187	33	255.94417	1.0847	7955000	TRUE
188	328	232.92819	1.0853	9244000	TRUE
189	1	167.01278	1.0834	42810000	TRUE
193	28	144.95687	1.0606	11500000	TRUE
203	1	281.19082	1.1297	462800	TRUE
204	2	158.96404	1.1384	6910000	TRUE
206	24	116.07056	1.1271	10870000	TRUE
208	5	140.06821	1.1266	3558000	TRUE
209	0	294.93902	1.1274	3548000	FALSE
211	0	362.92651	1.1274	4590000	FALSE
212	0	424.89702	1.1274	1569000	FALSE
213	0	430.91393	1.1274	6539000	FALSE
214	3	226.95154	1.1359	20310000	TRUE
217	1	288.92229	1.1294	3539000	TRUE
218	0	356.90958	1.1253	1318000	FALSE
219	45	130.08625	1.1303	63480000	TRUE
229	1	198.95701	1.1276	470500	TRUE
237	1	144.06316	1.1443	1139000	TRUE
253	1	122.08114	1.1709	913200	TRUE
270	4	156.04215	1.1574	2276000	TRUE
314	1	176.09171	1.1883	6540000	TRUE
328	1	258.92501	1.1979	558300	TRUE
341	1	146.0812	1.192	4053000	TRUE
354	1	286.92109	1.2044	436800	TRUE
355	5	234.95172	1.2022	1504000	TRUE
356	3	263.90515	1.2043	584700	TRUE
357	1	235.96335	1.2065	431900	TRUE
391	7	172.95225	1.2351	2113000	TRUE
393	8	227.93841	1.2052	350900	TRUE
397	15	104.07053	1.2137	4074000	TRUE
403	2	193.93	1.2093	1252000	TRUE
407	10	177.95739	1.2192	2100000	TRUE
430	18	131.05304	1.2267	14680000	TRUE
450	37	148.06038	1.2297	968700000	TRUE
464	35	102.05488	1.2329	67520000	TRUE
483	18	154.94166	1.227	3022000	TRUE
508	23	132.06551	1.2453	4849000	TRUE
514	54	145.04955	1.2507	2852000	TRUE
520	1	198.90891	1.2535	964700	TRUE
527	60	127.03895	1.2509	3063000	TRUE
548	47	114.05491	1.2623	4426000	TRUE
549	20	116.07055	1.2565	8489000	TRUE
583	12	158.08119	1.2692	1812000	TRUE
667	55	146.08118	1.2946	16300000	TRUE
668	23	104.07054	1.2917	11300000	TRUE
718	39	177.00702	1.3032	10090000	TRUE
730	18	102.09128	1.3091	13920000	TRUE
748	35	126.05493	1.3141	3182000	TRUE
798	40	176.09175	1.3281	30460000	TRUE
823	2	118.0862	1.3463	74210000	TRUE
829	2	119.08958	1.3464	4105000	TRUE
830	34	101.05965	1.3427	10280000	TRUE
876	66	116.07054	1.3708	854700000	TRUE
891	6	154.94168	1.3548	1218000	TRUE
892	62	117.05458	1.388	3090000	TRUE
902	36	107.00077	1.4069	469600	TRUE
903	8	176.09174	1.3964	9679000	TRUE
907	10	136.95318	1.4016	2056000	TRUE
909	40	118.94256	1.3959	6044000	TRUE
926	11	135.94535	1.4046	1612000	TRUE
938	54	140.07061	1.4146	9274000	TRUE
941	10	152.99745	1.4332	322400	TRUE
947	9	116.94722	1.417	482000	TRUE
959	24	119.08958	1.4242	5487000	TRUE
961	18	118.08621	1.4259	101900000	TRUE
974	4	246.23292	1.4318	8003000	TRUE
979	3	172.97589	1.4322	1036000	TRUE
996	19	234.95334	1.4343	2367000	TRUE
1008	2	127.07463	1.4382	1492000	TRUE
1018	10	114.09131	1.4413	1561000	TRUE
1026	0	134.98687	1.4649	626100	FALSE
1027	3	149.96107	1.4383	350800	TRUE
1033	12	120.98081	1.4697	2198000	TRUE
1035	16	116.98593	1.467	571200	TRUE
1044	9	146.93754	1.4742	1050000	TRUE
1045	12	329.32357	1.4593	3725000	TRUE
1074	12	227.21899	1.4876	15810000	TRUE
1075	23	245.22958	1.4713	51250000	TRUE
1087	69	118.94257	1.4859	6286000	TRUE
1088	10	136.95319	1.486	2021000	TRUE
1089	11	148.97574	1.4813	1274000	TRUE
1090	9	116.94725	1.4751	437700	TRUE
1091	1	164.9481	1.478	847700	TRUE
1093	69	130.96517	1.4862	2574000	TRUE
1110	7	106.9631	1.4897	363300	TRUE
1111	0	330.32713	1.4833	838200	FALSE
1141	16	116.96619	1.5244	625000	TRUE
1146	31	140.06821	1.5304	4032000	TRUE
1150	39	119.08955	1.5307	40830000	TRUE
1152	39	118.08619	1.5298	738700000	TRUE
1155	0	118.08874	1.5341	6427000	FALSE
1158	12	120.9808	1.5275	2034000	TRUE
1159	2	246.23293	1.5343	8183000	TRUE
1183	0	247.22645	1.5506	1789000	FALSE
1191	10	106.00402	1.57	430800	TRUE
1193	81	128.07059	1.5486	4704000	TRUE
1204	7	164.97004	1.5783	282100	TRUE
1205	16	182.98071	1.5733	326500	TRUE
1209	7	176.09172	1.5599	2035000	TRUE
1211	30	132.1019	1.5603	273700000	TRUE
1213	78	118.94257	1.5999	6350000	TRUE
1218	18	106.9631	1.5803	384800	TRUE
1227	33	146.93753	1.5884	1179000	TRUE
1230	2	149.9611	1.5805	337900	TRUE
1231	21	135.94536	1.5835	1897000	TRUE
1235	14	102.9702	1.5921	11330000	TRUE
1236	21	107.00077	1.5848	502100	TRUE
1237	2	126.99817	1.5887	935400	TRUE
1240	50	136.95318	1.5931	2123000	TRUE
1243	49	148.97574	1.5916	1378000	TRUE
1247	42	163.94026	1.5889	1210000	TRUE
1251	6	153.05416	1.5969	2513000	TRUE
1255	7	153.95594	1.5955	400300	TRUE
