new_group	annotated_feature	max_area	annotated_feature_f
-334	No MS/MS	3281000	No MS/MS
398	No MS/MS	3623000	No MS/MS
-360	Chimeric MS/MS	3630000	Chimeric MS/MS
14	Annotated MS/MS	529500000	Annotated MS/MS
399	Unknown MS/MS	24140000	Unknown MS/MS
401	Chimeric MS/MS	2258000	Chimeric MS/MS
15	No MS/MS	5801000	No MS/MS
402	No MS/MS	4767000	No MS/MS
16	Annotated MS/MS	4074000	Annotated MS/MS
11	Chimeric MS/MS	4011000	Chimeric MS/MS
-429	No MS/MS	1859000	No MS/MS
404	No MS/MS	1940000	No MS/MS
-451	No MS/MS	2548000	No MS/MS
-475	Unknown MS/MS	1298000	Unknown MS/MS
406	Chimeric MS/MS	7520000	Chimeric MS/MS
-477	Unknown MS/MS	3258000	Unknown MS/MS
-489	Unknown MS/MS	7620000	Unknown MS/MS
-496	Unknown MS/MS	1682000	Unknown MS/MS
-530	No MS/MS	1809000	No MS/MS
-540	Annotated MS/MS	9449000	Annotated MS/MS
-555	No MS/MS	3170000	No MS/MS
-558	No MS/MS	2521000	No MS/MS
-571	Unknown MS/MS	5781000	Unknown MS/MS
-576	Chimeric MS/MS	1551000	Chimeric MS/MS
-598	Unknown MS/MS	13410000	Unknown MS/MS
-608	Unknown MS/MS	31100000	Unknown MS/MS
-613	No MS/MS	1414000	No MS/MS
-614	Unknown MS/MS	11200000	Unknown MS/MS
-625	Unknown MS/MS	1639000	Unknown MS/MS
-628	Chimeric MS/MS	2940000	Chimeric MS/MS
409	Chimeric MS/MS	4174000	Chimeric MS/MS
-642	Annotated MS/MS	5545000	Annotated MS/MS
-646	Unknown MS/MS	7870000	Unknown MS/MS
-656	Chimeric MS/MS	4705000	Chimeric MS/MS
410	Unknown MS/MS	6217000	Unknown MS/MS
-658	Unknown MS/MS	6182000	Unknown MS/MS
-669	Annotated MS/MS	87850000	Annotated MS/MS
18	Unknown MS/MS	66390000	Unknown MS/MS
-721	No MS/MS	1595000	No MS/MS
-724	Chimeric MS/MS	4159000	Chimeric MS/MS
-734	Unknown MS/MS	10810000	Unknown MS/MS
-735	Chimeric MS/MS	12140000	Chimeric MS/MS
-739	Chimeric MS/MS	5325000	Chimeric MS/MS
-740	No MS/MS	1546000	No MS/MS
-758	Chimeric MS/MS	1420000	Chimeric MS/MS
-760	Chimeric MS/MS	1698000	Chimeric MS/MS
-761	Unknown MS/MS	29230000	Unknown MS/MS
19	Chimeric MS/MS	8043000	Chimeric MS/MS
-789	Chimeric MS/MS	1341000	Chimeric MS/MS
411	Chimeric MS/MS	10560000	Chimeric MS/MS
-803	No MS/MS	1931000	No MS/MS
412	Unknown MS/MS	3416000	Unknown MS/MS
-809	Annotated MS/MS	1017000	Annotated MS/MS
20	Unknown MS/MS	144100000	Unknown MS/MS
21	Annotated MS/MS	36930000	Annotated MS/MS
22	Chimeric MS/MS	4536000	Chimeric MS/MS
-820	Annotated MS/MS	7019000	Annotated MS/MS
-821	Unknown MS/MS	10480000	Unknown MS/MS
-822	Unknown MS/MS	21400000	Unknown MS/MS
-824	Chimeric MS/MS	3729000	Chimeric MS/MS
-838	Unknown MS/MS	2824000	Unknown MS/MS
-839	Unknown MS/MS	1299000	Unknown MS/MS
-844	Chimeric MS/MS	895300	Chimeric MS/MS
-846	Unknown MS/MS	1607000	Unknown MS/MS
-847	Chimeric MS/MS	3420000	Chimeric MS/MS
-849	Chimeric MS/MS	2438000	Chimeric MS/MS
-851	Unknown MS/MS	4973000	Unknown MS/MS
23	Chimeric MS/MS	1492000	Chimeric MS/MS
-859	Annotated MS/MS	2187000	Annotated MS/MS
24	Unknown MS/MS	2224000	Unknown MS/MS
26	Chimeric MS/MS	5477000	Chimeric MS/MS
414	Unknown MS/MS	6600000	Unknown MS/MS
-877	Unknown MS/MS	1554000	Unknown MS/MS
-882	No MS/MS	2964000	No MS/MS
-884	Chimeric MS/MS	1236000	Chimeric MS/MS
25	Chimeric MS/MS	3528000	Chimeric MS/MS
29	Chimeric MS/MS	9274000	Chimeric MS/MS
28	Annotated MS/MS	14830000	Annotated MS/MS
30	Annotated MS/MS	4533000	Annotated MS/MS
-913	Chimeric MS/MS	9027000	Chimeric MS/MS
-915	Chimeric MS/MS	1016000	Chimeric MS/MS
31	Chimeric MS/MS	1178000	Chimeric MS/MS
-920	Chimeric MS/MS	2299000	Chimeric MS/MS
416	Annotated MS/MS	4671000	Annotated MS/MS
415	Annotated MS/MS	2108000	Annotated MS/MS
-929	Chimeric MS/MS	1241000	Chimeric MS/MS
-946	Chimeric MS/MS	4616000	Chimeric MS/MS
-951	Unknown MS/MS	8758000	Unknown MS/MS
-954	Unknown MS/MS	76170000	Unknown MS/MS
-961	Unknown MS/MS	101900000	Unknown MS/MS
-975	Chimeric MS/MS	1774000	Chimeric MS/MS
-981	Chimeric MS/MS	4094000	Chimeric MS/MS
418	Chimeric MS/MS	1366000	Chimeric MS/MS
420	Chimeric MS/MS	4072000	Chimeric MS/MS
421	Unknown MS/MS	2247000	Unknown MS/MS
36	Unknown MS/MS	5531000	Unknown MS/MS
-987	Unknown MS/MS	1188000	Unknown MS/MS
-992	Chimeric MS/MS	904900	Chimeric MS/MS
419	Chimeric MS/MS	1815000	Chimeric MS/MS
-997	Chimeric MS/MS	998300	Chimeric MS/MS
-1000	Chimeric MS/MS	5280000	Chimeric MS/MS
-1003	Unknown MS/MS	1622000	Unknown MS/MS
-1029	Chimeric MS/MS	4553000	Chimeric MS/MS
-1031	Chimeric MS/MS	1714000	Chimeric MS/MS
37	Chimeric MS/MS	6132000	Chimeric MS/MS
-1038	Chimeric MS/MS	1608000	Chimeric MS/MS
-1039	Unknown MS/MS	7917000	Unknown MS/MS
-1040	Chimeric MS/MS	2423000	Chimeric MS/MS
38	Chimeric MS/MS	3345000	Chimeric MS/MS
-1048	Chimeric MS/MS	1251000	Chimeric MS/MS
40	Annotated MS/MS	738700000	Annotated MS/MS
-1052	Unknown MS/MS	7828000	Unknown MS/MS
-1056	Chimeric MS/MS	1222000	Chimeric MS/MS
-1058	Chimeric MS/MS	2372000	Chimeric MS/MS
422	Chimeric MS/MS	7977000	Chimeric MS/MS
-1064	Chimeric MS/MS	1054000	Chimeric MS/MS
42	Chimeric MS/MS	1545000	Chimeric MS/MS
423	Chimeric MS/MS	7931000	Chimeric MS/MS
-1083	Chimeric MS/MS	1747000	Chimeric MS/MS
-1086	Chimeric MS/MS	1332000	Chimeric MS/MS
-1098	Chimeric MS/MS	1320000	Chimeric MS/MS
-1101	Chimeric MS/MS	1295000	Chimeric MS/MS
-1104	Chimeric MS/MS	1325000	Chimeric MS/MS
-1117	Chimeric MS/MS	909000	Chimeric MS/MS
-1120	Chimeric MS/MS	1196000	Chimeric MS/MS
-1127	Annotated MS/MS	1124000	Annotated MS/MS
-1131	Chimeric MS/MS	1452000	Chimeric MS/MS
424	No MS/MS	1692000	No MS/MS
-1138	Unknown MS/MS	2214000	Unknown MS/MS
44	Chimeric MS/MS	6467000	Chimeric MS/MS
425	Chimeric MS/MS	2038000	Chimeric MS/MS
45	Unknown MS/MS	2712000	Unknown MS/MS
43	Chimeric MS/MS	3091000	Chimeric MS/MS
-1177	Chimeric MS/MS	1052000	Chimeric MS/MS
