id	fragment_scans	mz	rt	height	has_MSMS_scan
3	0	214.10759	0.3449	1088000	FALSE
6	0	138.09145	0.3406	2425000	FALSE
7	0	162.1126	0.3419	4491000	FALSE
8	0	174.07626	0.3448	2413000	FALSE
10	0	118.08632	0.3455	127400000	FALSE
11	0	119.0897	0.3421	7259000	FALSE
12	0	110.06015	0.3396	13160000	FALSE
13	0	245.11366	0.3454	3148000	FALSE
16	0	153.1024	0.3434	1406000	FALSE
19	0	130.08637	0.3527	31560000	FALSE
22	0	234.1339	0.3569	1574000	FALSE
25	8	160.13338	0.36	294300000	TRUE
30	4	262.12883	0.369	4146000	TRUE
35	0	108.08084	0.3676	1644000	FALSE
36	0	174.11262	0.3699	1742000	FALSE
37	0	104.07067	0.3667	814800	FALSE
38	0	152.07076	0.382	1951000	FALSE
39	1	136.06192	0.3842	7131000	TRUE
42	0	112.05061	0.3749	1995000	FALSE
43	0	128.07068	0.3808	2292000	FALSE
45	0	232.11826	0.3806	3394000	FALSE
48	0	218.139	0.3774	992100	FALSE
55	0	188.1282	0.3984	1162000	FALSE
61	0	124.03942	0.3903	21450000	FALSE
62	0	125.04275	0.3914	1472000	FALSE
66	0	128.10707	0.3974	9061000	FALSE
69	7	145.13366	0.3963	171300000	TRUE
71	0	137.07107	0.4075	2297000	FALSE
72	11	155.08163	0.4019	19650000	TRUE
75	7	190.10751	0.4025	2054000	TRUE
77	0	152.10711	0.4044	3051000	FALSE
78	0	224.12839	0.3947	1677000	FALSE
79	13	212.09195	0.4094	2924000	TRUE
83	16	139.05029	0.409	105200000	TRUE
84	6	168.06571	0.4152	1926000	TRUE
94	3	129.05231	0.4265	271200	TRUE
95	1	204.08688	0.4256	2444000	TRUE
96	0	154.08641	0.3854	2261000	FALSE
97	3	107.07037	0.4292	136400	TRUE
98	0	124.09695	0.4302	147100	FALSE
99	1	196.09694	0.4332	1747000	TRUE
101	0	186.11261	0.4342	986700	FALSE
102	0	124.07581	0.4341	9979000	FALSE
103	0	199.10782	0.4396	807200	FALSE
106	0	188.12823	0.4464	1198000	FALSE
109	0	158.11774	0.4422	1281000	FALSE
110	0	244.11836	0.4475	1064000	FALSE
111	0	214.14396	0.4494	622500	FALSE
113	2	262.12886	0.4438	3175000	TRUE
115	17	130.05001	0.4511	5038000	TRUE
117	17	176.12827	0.447	35460000	TRUE
123	0	238.1077	0.4572	809800	FALSE
124	0	182.08136	0.4625	7540000	FALSE
125	0	245.11365	0.455	3041000	FALSE
126	0	194.11769	0.4692	3783000	FALSE
128	1	208.09704	0.4609	525000	TRUE
129	0	174.07629	0.46	2237000	FALSE
131	0	196.13333	0.4672	2369000	FALSE
133	0	220.11912	0.4635	4061000	FALSE
136	0	168.10208	0.4685	1706000	FALSE
142	11	137.04591	0.4715	185300000	TRUE
145	0	216.12339	0.4786	2107000	FALSE
146	0	116.07071	0.4722	4406000	FALSE
148	1	202.18027	0.4711	3245000	TRUE
155	0	200.09194	0.488	940500	FALSE
159	0	164.10721	0.4881	1774000	FALSE
160	0	180.10207	0.491	5123000	FALSE
169	0	186.11267	0.5228	917300	FALSE
175	0	218.10262	0.5088	1290000	FALSE
179	0	166.08644	0.5147	4426000	FALSE
182	5	212.09197	0.5267	2303000	TRUE
183	0	132.10202	0.5207	487900000	FALSE
191	2	224.09204	0.5251	1693000	TRUE
200	0	204.1233	0.5326	1168000	FALSE
205	19	210.11272	0.5339	5232000	TRUE
206	0	156.07701	0.5343	1221000	FALSE
208	0	122.09653	0.5372	5143000	FALSE
210	0	189.07329	0.538	48580	FALSE
212	0	248.14955	0.544	1145000	FALSE
217	6	165.05484	0.542	41650000	TRUE
218	0	142.1228	0.5487	4198000	FALSE
221	0	136.07582	0.5414	36360000	FALSE
