row ID	feature_group	mz	annotated	max_area	clique_id	MS2_isf_id	rt	rt_group	annotated_grp
227	727	193.035	no	2816000	139548_3	-227	1.1588	70	filtered
232	727	275.03811	no	3713000	139551_4	-232	1.1515	69	filtered
233	727	242.92547	has MS2	9003000	139550_3	-233	1.1502	69	filtered
234	727	326.88688	has MS2	3786000	139556_6	92	1.1502	69	filtered
235	727	394.87433	no	3162000	139557_5	-235	1.1515	69	filtered
236	727	207.05064	chimeric MS2	25500000	139559_6	92	1.1515	69	filtered
238	727	358.99953	chimeric MS2	10280000	139559_6	92	1.1515	69	filtered
239	727	510.94841	no	4645000	139559_6	-239	1.1515	69	filtered
240	727	478.83577	no	4604000	139558_6	-240	1.1502	69	filtered
241	727	209.00893	chimeric MS2	4008000	139564_6	92	1.1515	69	filtered
242	727	410.84829	has MS2	6208000	139565_5	92	1.1502	69	filtered
243	727	174.93799	no	3326000	139566_3	-243	1.1515	69	filtered
244	727	562.79715	no	3168000	139565_5	-244	1.1515	69	filtered
245	727	258.8994	has MS2	16510000	139567_6	92	1.1578	69	filtered
246	727	594.90976	chimeric MS2	5178000	139565_5	92	1.1515	69	filtered
247	727	442.96093	has MS2	4207000	139565_5	92	1.1515	69	filtered
248	727	578.77102	no	5332000	139571_7	-248	1.1578	69	filtered
249	727	342.86082	has MS2	7779000	139570_7	92	1.1588	70	filtered
250	727	494.8097	has MS2	8667000	139570_7	92	1.1578	69	filtered
251	727	291.01206	chimeric MS2	6097000	139570_7	92	1.1588	70	filtered
252	727	512.78146	has MS2	6208000	139573_9	92	1.1661	70	filtered
254	727	374.97347	chimeric MS2	13420000	139576_8	92	1.1588	70	filtered
255	727	185.06867	has MS2	16070000	139575_7	-255	1.1588	70	filtered
256	727	426.82221	has MS2	11410000	139577_9	92	1.1588	70	filtered
257	727	526.92234	chimeric MS2	5647000	139570_7	92	1.1588	70	filtered
258	727	190.91192	has MS2	17370000	139578_8	92	1.1588	70	filtered
259	727	360.83289	chimeric MS2	4143000	139585_9	92	1.1733	70	filtered
260	727	762.6675	no	4782000	139579_8	-260	1.1733	70	filtered
261	727	610.88367	chimeric MS2	6877000	139577_9	92	1.1588	70	filtered
262	727	223.02459	has MS2	52340000	139589_8	92	1.1663	70	filtered
