SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
CCMSLIB00005435779	29833	specs_ms.mgf	GNPS-LIBRARY.mgf	0.996122	999.998	0	0.0	11	0.0	293.097	1	temp/specs_ms.mgf29833	1	Ethylenediaminetetraacetic acid EDTA	LC-ESI	qTof	Crude	Dorrestein	lfnothias	M+H	293.097	0.0	1	 	 	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)	 	3	Positive	GNPS-LIBRARY	293.097	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H16N2O8	KCXVZYZYPLLWCC-UHFFFAOYSA-N	KCXVZYZYPLLWCC	Organic acids and derivatives	Carboxylic acids and derivatives	Tetracarboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides
CCMSLIB00005765121	17812	specs_ms.mgf	MASSBANK.mgf	0.993666	29879.3	0	0.0	7	0.0	254.248	1	temp/specs_ms.mgf17812	1	Massbank:LU015303 1-Dodecyl-2-pyrrolidinone|1-dodecylpyrrolidin-2-one	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	254.248	0.0	1	2687-96-9	N/A	CCCCCCCCCCCCN1CCCC1=O	1S/C16H31NO/c1-2-3-4-5-6-7-8-9-10-11-14-17-15-12-13-16(17)18/h2-15H2,1H3	N/A	3	Positive	MASSBANK	254.248	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C16H31NO	NJPQAIBZIHNJDO-UHFFFAOYSA-N	NJPQAIBZIHNJDO	Organoheterocyclic compounds	Pyrrolidines	N-alkylpyrrolidines			
CCMSLIB00011906145	3650	specs_ms.mgf	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	0.992854	8930.41	0	0.0	6	0.0	195.065	1	temp/specs_ms.mgf3650	1	Ferulic acid	ESI	Orbitrap	Isolated	Daniel Petras	"""Christian Geibel, Giovanni Andrea Vitale"""	M+H	195.065	194.058	1	N/A	N/A	COC1=C(C=CC(=C1)C=CC(=O)O)O	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	N/A	1	Positive	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	195.065	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H10O4	KSEBMYQBYZTDHS-UHFFFAOYSA-N	KSEBMYQBYZTDHS	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids
CCMSLIB00000578029	22644	specs_ms.mgf	GNPS-EMBL-MCF.mgf	0.992752	73057.1	0	14.9116	7	0.0039978	268.104	1	temp/specs_ms.mgf22644	1	ADENOSINE	LC-ESI	Q-Exactive Plus	Commercial standard	Alexandrov Theodore	Prasad	M+H	268.1	267.097	0	58-61-7	60961	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)	N/A	1	Positive	GNPS-EMBL-MCF	268.1	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H13N5O4	OIRDTQYFTABQOQ-UHFFFAOYSA-N	OIRDTQYFTABQOQ	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates
CCMSLIB00000569151	3651	specs_ms.mgf	MONA.mgf	0.991927	1000.0	0	0.0	5	0.0	195.065	1	temp/specs_ms.mgf3651	1	MoNA:959007 Dimethyl Phthalate	LC-ESI-QFT	LC-ESI-QFT	isolated	MoNA	MoNA	[M+H]+	195.065	0.0	1	N/A	N/A	COC(=O)c1ccccc1C(=O)OC	InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3	N/A	3		MONA	195.065	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H10O4	NIQCNGHVCWTJSM-UHFFFAOYSA-N	NIQCNGHVCWTJSM	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Simple phenolic acids	Shikimates and Phenylpropanoids
CCMSLIB00012471656	44117	specs_ms.mgf	CMMC-LIBRARY.mgf	0.991287	2000.0	0	3.0677	6	0.00100708	328.284	1	temp/specs_ms.mgf44117	1	C14:0 N-Acyl 5-aminovaleric acid	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Kyle Vittali	[M+H]+	328.285	327.277	1	N/A	N/A	CCCCCCCCCCCCCC(=O)NCCCCC(=O)O	InChI=1S/C19H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-15-18(21)20-17-14-13-16-19(22)23/h2-17H2,1H3,(H,20,21)(H,22,23)	N/A	1	Positive	CMMC-LIBRARY	328.285	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C19H37NO3	RFMATVGCTRKHTG-UHFFFAOYSA-N	RFMATVGCTRKHTG	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	Fatty amides	N-acyl amines	Fatty acids
CCMSLIB00000222069	29363	specs_ms.mgf	MASSBANK.mgf	0.991185	253653.0	0	3.45972	9	0.00100708	291.086	1	temp/specs_ms.mgf29363	1	Massbank:PB001338 Epicatechin|(2R,3R)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	291.087	0.0	1	N/A	N/A	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1	N/A	3	Positive	MASSBANK	291.087	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C15H14O6	PFTAWBLQPZVEMU-UHFFFAOYSA-N	PFTAWBLQPZVEMU	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavonoids	Flavan-3-ols	Shikimates and Phenylpropanoids
CCMSLIB00006680029	38604	specs_ms.mgf	MONA.mgf	0.990692	85331.9	0	3.09873	10	0.000976562	315.148	1	temp/specs_ms.mgf38604	1	RANITIDINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037602	M+H	315.149	0.0	1	N/A	N/A	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	"""InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+"""	N/A	3	positive	MONA	315.149	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C13H22N4O3S	VMXUWOKSQNHOCA-UKTHLTGXSA-N	VMXUWOKSQNHOCA	Organic nitrogen compounds	Organonitrogen compounds	Amines			Alkaloids
CCMSLIB00006126983	82636	specs_ms.mgf	GNPS-LIBRARY.mgf	0.989818	252034.0	0	0.0	6	0.0	415.211	1	temp/specs_ms.mgf82636	1	Austinoneol	LC-ESI	Orbitrap	Lysate	Taicia Fill	Daniel Yuri	M+H	415.211	414.204	1	 	 	CC1=C2CC3(C(C(=O)C(C3=C)(C2(CCC14C=CC(=O)OC4(C)C)C)C(=O)OC)O)C	InChI=1S/C24H30O6/c1-13-15-12-21(5)14(2)24(19(28)29-7,18(27)17(21)26)22(15,6)10-11-23(13)9-8-16(25)30-20(23,3)4/h8-9,17,26H,2,10-12H2,1,3-7H3/t17-,21+,22-,23-,24-/m1/s1	 	3	Positive	GNPS-LIBRARY	415.211	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C24H30O6	RVCGYSNUNXICAF-UHFFFAOYSA-N	RVCGYSNUNXICAF	Organoheterocyclic compounds	Pyrans	Pyranones and derivatives	Meroterpenoids	Tetraketide meroterpenoids	Polyketides|Terpenoids
CCMSLIB00003138827	25429	specs_ms.mgf	GNPS-NIST14-MATCHES.mgf	0.989345	242317.0	0	3.63284	11	0.00100708	277.215	1	temp/specs_ms.mgf25429	1	Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14	ESI	HCD	Isolated	Data from Wolfender/Litaudon	Data deposited by pmallard	M+H-H2O	277.216	0.0	1	89886420	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	277.216	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
