row ID,clique_id,clique_size,NeatMS,BlankRatio,RemovedIsos,DilutionSeries,OnlyM0,feature_group,mz,rt,max_area,Compound_Name,annotated,SpectrumID,within_series_id,homologue_id,mz_diff,origin,feature_size,NoFilter,CobinedFilters,annotated_feature
2,-2,1,0,0,1,0,1,-2,110.00864,0.3574,913500,,no,,,0,,,1,1,0,no
3,-3,1,0,0,1,0,0,-3,123.04403,0.4035,8799,,no,,,0,,,1,1,0,no
4,-4,1,1,0,1,1,0,-4,200.97221,0.3466,139400,,no,,,0,,,1,1,0,no
5,-5,1,1,0,1,0,0,-5,185.15358,0.3485,8955,,no,,,0,,,1,1,0,no
7,-7,1,0,0,0,0,0,-7,235.96293,0.3688,8375,,no,,,0,,,1,1,0,no
8,-8,1,0,0,1,0,0,-8,605.42698,0.3512,99810,,no,,,0,,,1,1,0,no
10,-10,1,0,0,1,0,0,-10,236.93867,0.3486,145200,,no,,,0,,,1,1,0,no
11,-11,1,0,0,1,0,0,-11,100.93194,0.347,4422,,no,,,0,,,1,1,0,no
12,-12,1,0,0,1,0,0,-12,139.07536,0.3562,5779,,no,,,0,,,1,1,0,no
13,-13,1,0,1,1,0,0,-13,139.98217,0.357,153900,,no,,,0,,,1,1,0,no
14,-14,1,0,0,0,1,0,-14,104.0086,0.3591,33490,,no,,,0,,,1,1,0,no
16,-16,1,0,0,1,0,1,-16,207.98533,0.3479,80510,,no,,,0,,,1,1,0,no
17,-17,1,0,0,0,0,0,-17,141.9586,0.3675,3220000,,no,,,0,,,1,1,0,no
18,-18,1,1,0,1,1,1,-18,179.99043,0.3909,31970,,no,,,0,,,1,1,0,no
19,-19,1,1,0,1,0,0,-19,156.01418,0.3494,25070,,no,,,0,,,1,1,0,no
20,-20,1,0,0,1,0,0,-20,132.00358,0.353,237400,,no,,,0,,,1,1,0,no
21,-21,1,1,0,1,0,0,-21,143.99682,0.3444,316200,,no,,,0,,,1,1,0,no
23,-23,1,0,0,1,0,1,-23,102.01295,0.3438,34450,,no,,,0,,,1,1,0,no
24,-24,1,1,0,0,0,0,-24,145.06794,0.3377,26850,,no,,,0,,,1,1,0,no
25,-25,1,1,0,1,0,0,-25,159.96915,0.3404,273300,,no,,,0,,,1,1,0,no
27,-27,1,0,0,1,0,0,-27,113.96363,0.3541,1418000,,no,,,0,,,1,1,0,no
28,-28,1,0,1,1,1,0,-28,847.66983,0.3497,4466,,no,,,0,,,1,1,0,no
29,-29,1,0,0,1,0,0,-29,250.9544,0.3685,11120,,no,,,0,,,1,1,0,no
30,-30,1,0,0,1,0,0,-30,353.34312,0.3522,40160,,no,,,0,,,1,1,0,no
31,-31,1,1,0,1,0,0,-31,130.01681,0.3555,41700,,no,,,0,,,1,1,0,no
32,-32,1,1,0,1,0,0,-32,777.63242,0.3557,36840,,no,,,0,,,1,1,0,no
33,-33,1,0,0,1,0,0,-33,134.98685,0.3494,20560,,no,,,0,,,1,1,0,no
34,-34,1,0,0,1,0,0,-34,183.98555,0.3796,9144,,no,,,0,,,1,1,0,no
36,-36,1,0,0,1,0,0,-36,111.9683,0.3539,12580,,no,,,0,,,1,1,0,no
38,-38,1,0,0,1,0,0,-38,472.4447,0.3539,31760,,no,,,0,,,1,1,0,no
40,-40,1,0,0,0,0,0,-40,158.97001,0.3672,26580,,no,,,0,,,1,1,0,no
42,-42,1,0,0,1,0,0,-42,155.10667,0.3748,7371,,no,,,0,,,1,1,0,no
43,-43,1,0,0,1,0,0,-43,208.94379,0.359,17270,,no,,,0,,,1,1,0,no
44,-44,1,0,0,1,0,0,-44,128.95076,0.3408,26700,,no,,,0,,,1,1,0,no
45,-45,1,0,0,0,1,0,-45,209.98091,0.3515,82510,,no,,,0,,,1,1,0,no
48,-48,1,1,0,1,0,0,-48,141.09101,0.3786,14450,,no,,,0,,,1,1,0,no
49,-49,1,0,0,1,0,1,-49,759.59892,0.3617,35310,,no,,,0,,,1,1,0,no
50,-50,1,0,0,1,0,0,-50,793.65937,0.3638,44670,,no,,,0,,,1,1,0,no
53,-53,1,1,0,1,0,0,-53,183.10156,0.3804,8888,,no,,,0,,,1,1,0,no
54,-54,1,0,0,1,0,0,-54,451.25482,0.3657,23640,,no,,,0,,,1,1,0,no
55,-55,1,0,0,1,0,0,-55,551.39807,0.3735,39640,,no,,,0,,,1,1,0,no
56,-56,1,0,0,1,0,0,-56,248.90054,0.3486,29420,,no,,,0,,,1,1,0,no
57,-57,1,0,1,1,0,0,-57,234.95172,0.3581,36110,,no,,,0,,,1,1,0,no
58,-58,1,0,1,1,0,0,-58,116.96614,0.3564,14000,,no,,,0,,,1,1,0,no
59,-59,1,0,1,1,0,0,-59,115.03892,0.3638,14970,,no,,,0,,,1,1,0,no
61,-61,1,0,0,1,0,0,-61,140.96171,0.3508,38280,,no,,,0,,,1,1,0,no
