Source,Target,clique
25244,25246,True
18135,18162,True
18154,18175,True
23663,24362,True
6886,6895,True
30443,30453,True
14606,14621,True
10478,10492,True
12085,12102,True
14965,14968,True
10516,10518,True
19118,19127,True
10777,10788,True
11357,11363,True
30568,30569,True
11369,11373,True
11413,11416,True
15392,15422,True
1782,1817,True
24952,24966,True
20442,20506,True
18114,18116,True
25314,25318,True
12565,12567,True
2768,2787,True
3628,3645,True
16437,16447,True
6158,6169,True
1709,1719,True
11357,11376,True
14237,14242,True
17265,17272,True
2761,2784,True
13137,13143,True
6967,6981,True
13140,13148,True
24528,24530,True
26415,26423,True
24319,24356,True
8750,8753,True
15670,15672,True
14570,14573,True
18162,18170,True
6273,6277,True
8785,8976,True
24054,24058,True
16504,16514,True
29852,29853,True
19002,19049,True
12395,12398,True
23725,23738,True
18976,19033,True
22644,22652,True
5552,5554,True
11372,11374,True
1875,1886,True
11611,11619,True
13051,13052,True
30199,30203,True
13281,13285,True
24070,24079,True
8945,8978,True
21902,21907,True
14185,14186,True
18073,18074,True
18037,18151,True
11623,11629,True
18243,18256,True
16116,16122,True
19963,19972,True
30254,30260,True
13916,13917,True
16629,16643,True
2572,2578,True
13320,13334,True
26148,26149,True
17227,17235,True
13679,13681,True
1494,1497,True
20469,20490,True
5552,5567,True
14813,14815,True
3724,3729,True
6755,6764,True
15115,15116,True
5394,5395,True
14015,14017,True
13394,13404,True
13454,13455,True
14317,14318,True
35652,35653,True
2059,2070,True
13447,13452,True
3388,3406,True
13449,13461,True
24837,24843,True
2140,2143,True
12072,12084,True
12992,12993,True
18131,18149,True
18150,18162,True
24471,24493,True
27931,27934,True
14602,14608,True
13855,13856,True
10773,10775,True
4647,4656,True
19283,19300,True
1918,1922,True
13586,13587,True
19926,19931,True
21813,21824,True
25906,25932,True
24844,24859,True
11348,11356,True
1911,1919,True
17987,17996,True
15860,15862,True
22504,22846,True
26110,26112,True
13641,13644,True
2764,2774,True
24994,25005,True
2540,3029,True
12825,12829,True
13871,13877,True
28340,28344,True
25523,25534,True
25822,25830,True
24514,24553,True
10325,10332,True
14365,14385,True
21697,21706,True
5359,5363,True
18986,19026,True
25515,25535,True
1829,1863,True
21453,21494,True
5869,5879,True
27535,27543,True
29766,29771,True
11348,11369,True
6773,6780,True
15129,15131,True
19301,19303,True
14571,14574,True
19269,19270,True
14054,14055,True
13061,13082,True
3624,3645,True
3476,3481,True
15144,15146,True
18172,18176,True
