Node,clique_id
1494,143_2
1497,143_2
1513,144_4
1518,144_4
1517,144_4
1520,144_4
1873,2197571_4
1870,2197563_5
1558,281_4
1571,280_4
1566,288_3
1567,288_3
1569,281_4
1572,288_3
1568,292_3
1574,292_3
1825,295_5
1633,302_3
1577,292_3
1576,297_5
1581,302_3
1605,297_5
1570,296_3
1655,296_3
1649,318_3
1617,312_3
1659,312_3
1580,297_5
1578,300_4
1637,318_3
1926,305_4
1587,304_4
1586,305_4
1579,301_3
1582,302_3
1690,318_3
1593,2105428_18
1688,2197221_15
1801,2107685_19
1811,2197554_18
1778,2197547_17
1776,2197349_16
1768,2197314_17
1666,2197299_19
1783,2197329_16
1839,2197567_10
1822,2197547_17
1766,1130409_23
1738,1026593_16
1669,2197329_16
1767,1720987_18
1814,2197350_12
1805,2197256_15
1594,2188928_22
1809,2197327_16
1804,2186386_26
1810,2197547_17
1781,2107971_16
1771,1880075_18
1784,2197547_17
1742,2197329_16
1691,2196927_32
1743,2188976_24
1746,2197152_18
1803,2197546_17
1777,2197217_14
1775,2197151_30
1695,2197221_15
1670,2188928_22
1722,2197326_17
1762,2197329_16
1720,2197299_19
1761,2188397_23
1680,2197271_17
1863,2197567_10
1760,2197328_19
1802,2197565_7
1759,2197218_14
1795,2192117_33
1642,2197565_7
1788,2186254_13
1797,2186649_12
1772,2197169_16
1770,2197190_17
1739,2197329_16
1745,2197328_19
1794,2197566_9
1790,2197279_19
1848,2197380_5
1681,2197221_15
1703,2164526_13
1731,2197212_18
1740,1067023_23
1807,2189020_20
1821,2197567_10
1793,2197093_30
1752,1089190_20
1779,1958359_21
1606,2163899_25
1751,2197328_19
1753,2197219_15
1709,2197329_16
1728,2197329_16
1773,2197328_19
1792,2197212_18
1764,2192850_9
1830,2197143_31
1673,2197326_17
1808,2197329_16
1718,2197299_19
1700,2186481_23
1710,2186481_23
1607,2197299_19
1812,2197218_14
1699,2197147_28
1799,2197555_15
1719,2197329_16
1750,2186485_15
1664,2197073_32
1675,2197329_16
1789,2186486_13
1717,2186481_23
1756,1091015_14
1735,2197329_16
1757,2197349_16
1786,2098378_26
1741,2195967_22
1672,2197299_19
1705,2186386_26
1667,2189024_21
1824,2197551_15
1831,2197567_10
1677,2197295_20
1832,2197555_15
1782,2197555_15
1714,2186481_23
1706,2197151_30
1727,1957826_23
