peak_id,rt,mz,intensity,homologue_id,within_series_id
29266,12.3498,1153.32099,3924,390,1
29705,12.5698,1226.34306,9844,390,2
30439,12.9089,1299.36279,18690,390,3
31203,13.2257,1372.38078,98570,390,4
31936,13.5439,1445.40131,18460,390,5
25988,11.1402,1149.32563,55740,389,1
26943,11.4202,1223.34449,64810,389,2
28025,11.7976,1297.36476,140700,389,3
28997,12.2401,1371.3826,143800,389,4
30003,12.7009,1445.40066,67300,389,5
25730,11.1217,1148.32639,120800,388,1
26913,11.3953,1222.34527,92460,388,2
28113,11.8173,1296.36467,189300,388,3
29051,12.2654,1370.38306,311700,388,4
30175,12.8011,1444.40093,44340,388,5
28178,11.8434,869.64952,5359,387,1
28835,12.1363,927.69103,11680,387,2
29521,12.4846,985.73324,12720,387,3
30396,12.8835,1043.77554,20720,387,4
31465,13.3626,1101.81694,14800,387,5
32956,13.881,1159.85908,3351,387,6
27831,11.7173,840.127,8110,386,1
28157,11.8493,869.14821,11870,386,2
28486,11.9815,898.16897,16930,386,3
28832,12.1478,927.18996,20900,386,4
29145,12.3106,956.21109,27520,386,5
29522,12.479,985.23223,29250,386,6
29874,12.666,1014.25275,35460,386,7
30312,12.8694,1043.27335,38540,386,8
30818,13.0793,1072.29599,33020,386,9
31411,13.34,1101.31617,32650,386,10
32164,13.5904,1130.33719,11010,386,11
32728,13.8402,1159.35783,14260,386,12
26745,11.3716,752.56247,2247,385,1
27062,11.474,781.58305,2909,385,2
27539,11.5901,810.60478,4185,385,3
27624,11.7073,839.62597,89890,385,4
28154,11.8399,868.64642,12890,385,5
28480,11.987,897.66713,18350,385,6
28836,12.1407,926.68761,18540,385,7
29106,12.3067,955.70716,11930,385,8
29555,12.4853,984.72991,29720,385,9
29885,12.6717,1013.75121,29330,385,10
30315,12.8496,1042.77212,9950,385,11
30846,13.0895,1071.793,26660,385,12
31432,13.3439,1100.81427,22300,385,13
32237,13.6182,1129.83516,10290,385,14
27188,11.4952,716.55171,122800,384,1
27536,11.6145,760.57814,73700,384,2
27956,11.7627,804.60475,38300,384,3
28386,11.9197,848.63067,22670,384,4
28821,12.1392,892.65706,6620,384,5
25012,10.9062,705.19327,12350,383,1
25720,11.0774,779.21204,22060,383,2
26845,11.3457,853.23117,19240,383,3
27812,11.7056,927.2494,9993,383,4
28922,12.2079,1001.26854,5731,383,5
30395,12.8896,702.19549,5006,382,1
30836,13.082,721.54325,10320,382,2
31387,13.3158,740.89055,17000,382,3
32236,13.6223,760.23776,12170,382,4
32986,13.9269,779.58519,9175,382,5
33937,14.2633,798.93203,18310,382,6
14630,7.0038,695.0939,50920,381,1
14722,7.097,724.44466,51180,381,2
14782,7.1752,753.79558,37230,381,3
14876,7.2575,783.14656,24630,381,4
14932,7.3393,812.49722,12180,381,5
14164,6.5869,694.92366,281600,380,1
14222,6.6592,716.93676,390600,380,2
14299,6.7198,738.94986,266100,380,3
14349,6.7829,760.96297,130300,380,4
14409,6.8445,782.97607,108100,380,5
25300,10.966,688.52074,42910,379,1
25486,11.0194,732.54675,27710,379,2
25750,11.0911,776.57319,14820,379,3
26036,11.1708,820.59892,7368,379,4
26476,11.2767,864.6254,5644,379,5
29585,12.4825,663.16693,8084,378,1
29941,12.6611,682.51371,13170,378,2
30323,12.8646,701.86098,21150,378,3
30847,13.0814,721.20847,34470,378,4
31378,13.3176,740.5558,51600,378,5
32139,13.6098,759.90286,59940,378,6
32921,13.8823,779.25064,29090,378,7
33792,14.2027,798.59768,53100,378,8
34839,14.5464,817.9448,21690,378,9
29575,12.489,662.49792,15980,377,1
29949,12.6779,681.84537,26560,377,2
30402,12.875,701.19225,34410,377,3
30882,13.1119,720.5398,48980,377,4
31410,13.3492,739.88696,55760,377,5
31888,13.5645,759.23465,17170,377,6
32955,13.8637,778.58335,52210,377,7
14024,6.4506,651.90039,64290,376,1
14098,6.5267,673.9134,46250,376,2
14165,6.5917,695.92654,52200,376,3
14221,6.6629,717.93972,38520,376,4
14293,6.7409,739.95276,30190,376,5
14449,6.8593,651.73673,15810,375,1
14627,7.0041,695.76277,29340,375,2
14752,7.1384,739.78901,31810,375,3
14873,7.2553,783.8153,15230,375,4
14961,7.367,827.8412,5760,375,5
14436,6.8609,651.40184,26270,374,1
14626,7.0063,695.42803,47900,374,2
14748,7.1348,739.4546,55260,374,3
14875,7.2575,783.48117,32250,374,4
14949,7.3654,827.50788,9148,374,5
29160,12.3121,643.48459,6163,373,1
29568,12.4776,662.83252,16770,373,2
29875,12.6753,682.17947,29390,373,3
30379,12.8818,701.52667,44230,373,4
30906,13.1102,720.87406,56620,373,5
31386,13.342,740.22161,80830,373,6
32117,13.5962,759.56942,82360,373,7
32644,13.8577,778.91561,19810,373,8
33791,14.181,798.26363,75740,373,9
34838,14.5029,817.61009,32690,373,10
14398,6.8208,636.72695,32210,372,1
14560,6.9597,680.75296,44260,372,2
14719,7.0955,724.77924,50750,372,3
14833,7.2173,768.80555,35820,372,4
14933,7.3324,812.83191,13310,372,5
25536,11.0267,632.18933,29350,371,1
26410,11.2702,706.20883,98880,371,2
27516,11.6078,780.2284,139400,371,3
28668,12.0649,854.2477,144600,371,4
29905,12.6787,928.26693,140000,371,5
31808,13.5082,1002.28625,123800,371,6
35168,14.6299,1076.30586,62300,371,7
24450,10.751,630.17425,11710,370,1
25017,10.894,704.19292,25530,370,2
25715,11.1011,778.21133,37300,370,3
26640,11.3492,852.23005,30880,370,4
27810,11.7094,926.24883,11900,370,5
28921,12.2033,1000.26662,6600,370,6
24229,10.7391,629.19521,6180,369,1
25368,11.0114,703.21403,11340,369,2
26651,11.3447,777.23294,17940,369,3
28120,11.8308,851.252,10710,369,4
29386,12.4318,925.27056,5343,369,5
31315,13.3342,999.2898,5408,369,6
24252,10.729,628.19488,23150,368,1
25109,10.964,702.21355,28350,368,2
26356,11.2716,776.23234,23670,368,3
27370,11.5709,850.25121,9711,368,4
28258,11.8793,924.26977,3229,368,5
14346,6.7703,622.05153,10380,367,1
14522,6.9124,666.07716,40270,367,2
14684,7.0473,710.10377,52090,367,3
14784,7.177,754.1297,46050,367,4
14910,7.2932,798.15677,19640,367,5
14979,7.4026,842.18321,6122,367,6
14343,6.7819,621.71706,11790,366,1
