peak_id,rt,mz,intensity,homologue_id,within_series_id
28157,11.8493,869.14821,11870,188,1
28486,11.9815,898.16897,16930,188,2
28832,12.1478,927.18996,20900,188,3
29145,12.3106,956.21109,27520,188,4
29522,12.479,985.23223,29250,188,5
29874,12.666,1014.25275,35460,188,6
30312,12.8694,1043.27335,38540,188,7
30818,13.0793,1072.29599,33020,188,8
31411,13.34,1101.31617,32650,188,9
27624,11.7073,839.62597,89890,187,1
28154,11.8399,868.64642,12890,187,2
28480,11.987,897.66713,18350,187,3
28836,12.1407,926.68761,18540,187,4
29106,12.3067,955.70716,11930,187,5
29555,12.4853,984.72991,29720,187,6
29885,12.6717,1013.75121,29330,187,7
30315,12.8496,1042.77212,9950,187,8
25017,10.894,704.19292,25530,186,1
25715,11.1011,778.21133,37300,186,2
26640,11.3492,852.23005,30880,186,3
27810,11.7094,926.24883,11900,186,4
28921,12.2033,1000.26662,6600,186,5
14553,6.9567,681.08733,22470,185,1
14688,7.0544,710.43815,28030,185,2
14752,7.1384,739.78901,31810,185,3
14832,7.2171,769.13979,25000,185,4
14911,7.2934,798.49074,15210,185,5
26881,11.4,672.52615,204200,184,1
27188,11.4952,716.55171,122800,184,2
27536,11.6145,760.57814,73700,184,3
27956,11.7627,804.60475,38300,184,4
28386,11.9197,848.63067,22670,184,5
14523,6.9178,666.41225,13750,183,1
14627,7.0041,695.76277,29340,183,2
14715,7.0949,725.11351,30050,183,3
14780,7.1775,754.46419,25140,183,4
14873,7.2553,783.8153,15230,183,5
29568,12.4776,662.83252,16770,182,1
29875,12.6753,682.17947,29390,182,2
30379,12.8818,701.52667,44230,182,3
30906,13.1102,720.87406,56620,182,4
31386,13.342,740.22161,80830,182,5
32117,13.5962,759.56942,82360,182,6
14024,6.4506,651.90039,64290,181,1
14098,6.5267,673.9134,46250,181,2
14165,6.5917,695.92654,52200,181,3
14221,6.6629,717.93972,38520,181,4
14293,6.7409,739.95276,30190,181,5
14436,6.8609,651.40184,26270,180,1
14626,7.0063,695.42803,47900,180,2
14748,7.1348,739.4546,55260,180,3
14875,7.2575,783.48117,32250,180,4
14949,7.3654,827.50788,9148,180,5
14398,6.8208,636.72695,32210,179,1
14560,6.9597,680.75296,44260,179,2
14719,7.0955,724.77924,50750,179,3
14833,7.2173,768.80555,35820,179,4
14933,7.3324,812.83191,13310,179,5
14390,6.7998,636.39464,40400,178,1
14439,6.867,651.06793,32530,178,2
14519,6.914,665.74302,39400,178,3
14558,6.9608,680.41829,44540,178,4
14630,7.0038,695.0939,50920,178,5
14687,7.048,709.76948,51390,178,6
25536,11.0267,632.18933,29350,177,1
26410,11.2702,706.20883,98880,177,2
27516,11.6078,780.2284,139400,177,3
28668,12.0649,854.2477,144600,177,4
29905,12.6787,928.26693,140000,177,5
31808,13.5082,1002.28625,123800,177,6
35168,14.6299,1076.30586,62300,177,7
24229,10.7391,629.19521,6180,176,1
25368,11.0114,703.21403,11340,176,2
26651,11.3447,777.23294,17940,176,3
28120,11.8308,851.252,10710,176,4
29599,12.554,925.27061,9224,176,5
31536,13.4451,999.28976,344500,176,6
24252,10.729,628.19488,23150,175,1
25109,10.964,702.21355,28350,175,2
26356,11.2716,776.23234,23670,175,3
27370,11.5709,850.25121,9711,175,4
28258,11.8793,924.26977,3229,175,5
14346,6.7703,622.05153,10380,174,1
14522,6.9124,666.07716,40270,174,2
14684,7.0473,710.10377,52090,174,3
14784,7.177,754.1297,46050,174,4
14910,7.2932,798.15677,19640,174,5
14979,7.4026,842.18321,6122,174,6
