id_number,rtime,mz,kp,interim_id,isotope,modification,ion_relation
2,21.446388,110.008641937759,kp1_109.0014,root@109.0014,M0,M+H+,"M0,M+H+"
3,24.2097828,123.044025595212,,,,,
4,20.7972264,200.972213898949,,,,,
5,20.909865,185.153583896903,,,,,
7,22.1292756,235.962930545141,kp28_232.9596,root@232.9596,34S 1,M+H+,"34S 1,M+H+"
8,21.070158,605.42698020961,,,,,
10,20.9187948,236.938667543304,,,,,
11,20.819076,100.931936642692,,,,,
12,21.373842,139.075362940203,,,,,
13,21.4200102,139.982172526954,,,,,
14,21.5480196,104.008596795354,kp7_101.0056,root@101.0056,34S 1,M+H+,"34S 1,M+H+"
16,20.8712016,207.985333215857,kp3_206.9779,root@206.9779,M0,M+H+,"M0,M+H+"
17,22.0527468,141.958604494691,kp4_138.9577,root@138.9577,34S 1,M+H+,"34S 1,M+H+"
18,23.4541296,179.990429445619,kp6_178.983,root@178.983,M0,M+H+,"M0,M+H+"
19,20.9646768,156.014182608789,,,,,
20,21.1772472,132.003583346206,,,,,
21,20.6610612,143.99682448727,,,,,
23,20.6295276,102.012949579032,kp7_101.0056,root@101.0056,M0,M+H+,"M0,M+H+"
24,20.2607418,145.067940348783,kp19_142.0629,root@142.0629,81Br 1,M+H+,"81Br 1,M+H+"
25,20.4224952,159.969154309021,,,,,
27,21.24849,113.963631743516,,,,,
28,20.9799798,847.669827316514,,,,,
29,22.1092272,250.954402890081,,,,,
30,21.134256,353.343116463895,,,,,
31,21.3295518,130.016810102831,,,,,
32,21.3436728,777.632417431087,,,,,
33,20.9632428,134.986854076122,,,,,
34,22.774515,183.98555154416,,,,,
36,21.23661,111.968303846758,,,,,
38,21.233406,472.44470062023,,,,,
40,22.0293672,158.97000856637,kp12_155.9586,root@155.9586,18O 1,M+H+,"18O 1,M+H+"
42,22.486434,155.106669162647,,,,,
43,21.5422062,208.943790144408,,,,,
44,20.4477456,128.950755631939,,,,,
45,21.08832,209.980908844842,kp3_206.9779,root@206.9779,34S 1,M+H+,"34S 1,M+H+"
48,22.7187948,141.091011202377,,,,,
49,21.7029744,759.598917245424,kp8_758.5912,root@758.5912,M0,M+H+,"M0,M+H+"
50,21.8297556,793.659368259367,,,,,
53,22.8222012,183.101557459481,,,,,
54,21.94326,451.254815331067,,,,,
55,22.4125332,551.398072967516,,,,,
56,20.9141562,248.900544260045,,,,,
57,21.4878,234.951724008262,,,,,
58,21.3838398,116.966140224035,,,,,
59,21.8256408,115.038916954238,,,,,
61,21.0485442,140.961705564804,,,,,
62,22.3294368,624.43980804502,,,,,
63,20.9014392,214.917614282207,,,,,
64,22.6502556,285.009753487833,,,,,
65,21.0492738,114.987591547039,,,,,
66,20.5176348,193.930036693491,,,,,
67,21.7975242,103.038907094121,,,,,
69,21.7627164,153.127387290411,,,,,
70,20.8131912,174.984922209578,,,,,
71,21.4443252,150.014171341306,kp15_147.0112,root@147.0112,34S 1,M+H+,"34S 1,M+H+"
72,21.7810608,172.977067523397,,,,,
74,22.1152836,111.044008332278,,,,,
75,21.7060536,269.248937270607,kp9_267.2335,root@267.2335,13C 1,M+H+,"13C 1,M+H+"
76,20.834157,155.974290985829,,,,,
77,22.6771368,143.958984324442,kp4_138.9577,root@138.9577,81Br 2,M+H+,"81Br 2,M+H+"
78,21.5119728,101.059645318479,,,,,
79,22.201236,183.988503761942,,,,,
80,20.5451916,296.276949934174,,,,,
81,21.4448424,181.985997955969,,,,,
83,21.3416022,229.001473580943,,,,,
84,22.1320278,126.054937338025,,,,,
85,21.8155272,144.956864781337,,,,,
86,21.4766172,102.054888142939,,,,,
87,20.512362,124.014890160064,kp11_119.0161,root@119.0161,34S 2,M+H+,"34S 2,M+H+"
88,21.0560844,230.889955195677,,,,,
89,22.1788716,242.20162845914,,,,,
91,22.0962792,760.601305579617,kp8_758.5912,root@758.5912,13C 1,M+H+,"13C 1,M+H+"
92,21.921822,181.025767152254,,,,,
93,21.428124,112.006190781192,,,,,
94,20.8770222,131.052264340492,,,,,
95,21.5611572,181.158688826423,,,,,
96,21.7821624,195.96826118596,,,,,
97,21.3159462,778.611634144967,,,,,
98,22.1360136,254.94925490035,,,,,
99,21.447672,453.234078064082,,,,,
100,22.09206,106.991888364446,kp10_105.9845,root@105.9845,M0,M+H+,"M0,M+H+"
101,22.2391428,122.019216721688,kp11_119.0161,root@119.0161,34S 1,M+H+,"34S 1,M+H+"
102,21.747258,607.406478835377,,,,,
103,20.549079,230.001025040846,,,,,
104,21.7011288,143.106677566859,,,,,
105,22.9933476,125.059699124161,,,,,
106,21.5495022,182.961801448033,,,,,
107,21.174009,232.928210794281,,,,,
108,21.1651344,213.148560202643,,,,,
109,22.0661382,169.122307215177,,,,,
110,21.9766044,519.139012479325,,,,,
111,22.060974,176.091718140508,,,,,
113,21.464841,549.418776398196,,,,,
114,22.2895716,149.023339427316,,,,,
115,23.770674,156.966025501432,kp12_155.9586,root@155.9586,M0,M+H+,"M0,M+H+"
116,21.7203588,148.018514190412,kp15_147.0112,root@147.0112,M0,M+H+,"M0,M+H+"
117,21.0665292,217.959506652408,,,,,
118,22.1705262,435.223443548008,,,,,
120,21.650052,186.964861421439,,,,,
121,21.6715158,129.020048325035,,,,,
122,22.48164,163.148123046428,,,,,
123,21.507951,268.97840181006,,,,,
124,22.7435658,298.877472862444,,,,,
125,21.4401162,164.948088366788,,,,,
126,22.18518,259.208887975829,,,,,
127,23.107296,329.323538032001,,,,,
128,22.5083988,104.016163278501,,,,,
129,21.7463136,244.245566607096,,,,,
131,22.9902204,129.054612162671,,,,,
132,23.1351132,169.085924953623,,,,,
133,21.900348,283.263225123658,,,,,
134,22.883295,369.351705492484,,,,,
135,22.5120216,176.971976847802,,,,,
136,22.008081,156.042149200043,,,,,
137,21.805752,177.957892229595,,,,,
138,22.437666,113.059654737846,,,,,
139,22.3394982,638.484781003297,,,,,
140,22.1080848,130.122644796822,,,,,
141,22.4434428,111.00943745443,,,,,
142,22.5179172,186.980972838452,kp16_179.9825,root@179.9825,37Cl 3,M+H+,"37Cl 3,M+H+"
144,23.126199,155.143054409809,,,,,
145,22.6375404,622.46052955147,kp23_620.4505,root@620.4505,13C 1,M+H+,"13C 1,M+H+"
146,22.6499478,194.943519061472,,,,,
147,21.7404378,116.106949557645,,,,,
148,23.5684848,146.019257193069,,,,,
149,22.6861272,180.989790906281,kp16_179.9825,root@179.9825,M0,M+H+,"M0,M+H+"
150,23.358153,268.254983486564,,,,,
151,22.80858,271.24584740691,kp9_267.2335,root@267.2335,13C 3,M+H+,"13C 3,M+H+"
152,22.9956168,142.959088945723,kp17_141.9517,root@141.9517,M0,M+H+,"M0,M+H+"
154,22.6195458,126.998155630804,kp36_123.9951,root@123.9951,34S 1,M+H+,"34S 1,M+H+"
156,21.8354556,108.987555006629,kp10_105.9845,root@105.9845,34S 1,M+H+,"34S 1,M+H+"
157,22.9863576,131.974238921422,,,,,
158,23.8537236,143.033897561915,,,,,
159,21.733308,187.964092451065,,,,,
160,21.6833442,227.022220088029,,,,,
161,23.6378268,320.899850877098,,,,,
162,22.5095664,171.137949672653,,,,,
164,23.0829744,197.153635353551,,,,,
165,22.7800368,199.99657704859,kp21_196.9936,root@196.9936,34S 1,M+H+,"34S 1,M+H+"
166,23.5618062,143.070276374161,kp19_142.0629,root@142.0629,M0,M+H+,"M0,M+H+"
167,22.8205938,154.941664476237,,,,,
168,22.2014076,591.374953200778,,,,,
169,22.1235876,437.202719066151,,,,,
170,22.150458,139.963268007456,kp4_138.9577,root@138.9577,M0,M+H+,"M0,M+H+"
172,22.2510072,212.964213566748,,,,,
173,23.6018838,268.245546547668,,,,,
174,22.057371,761.578073896609,kp20_760.5702,root@760.5702,M0,M+H+,"M0,M+H+"
175,22.6301892,120.023548463302,kp11_119.0161,root@119.0161,M0,M+H+,"M0,M+H+"
176,22.67652,379.215195854393,,,,,
177,22.388631,153.091013847638,,,,,
178,22.073478,762.580269821305,kp20_760.5702,root@760.5702,13C 1,M+H+,"13C 1,M+H+"
179,22.54356,779.611057822156,,,,,
181,21.802395,200.17264886809,,,,,
182,22.73742,270.252286835546,kp9_267.2335,root@267.2335,13C 2,M+H+,"13C 2,M+H+"
183,22.9431168,147.030890351706,,,,,
185,22.8880404,167.106669229536,,,,,
188,23.1892416,125.096084580604,,,,,
189,22.5208962,219.174361048264,,,,,
192,23.2145028,469.265433371661,,,,,
193,23.9359992,311.944031476891,,,,,
194,22.8779628,149.952826652579,,,,,
195,22.110105,127.075344475204,,,,,
196,21.7988064,164.029814837202,,,,,
197,22.264746,198.000945883711,kp21_196.9936,root@196.9936,M0,M+H+,"M0,M+H+"
199,23.689554,211.132916813565,,,,,
202,23.0417988,257.967699073421,,,,,
203,23.819802,621.458311929821,kp23_620.4505,root@620.4505,M0,M+H+,"M0,M+H+"
204,22.4868462,144.992068111364,,,,,
205,23.97114,146.937523650659,,,,,
206,23.817588,286.921064894804,,,,,
207,23.581776,299.06179000212,,,,,
209,23.634378,121.064758124615,,,,,
210,22.782114,533.387393849604,,,,,
211,22.765635,608.408472565664,,,,,
212,24.9973764,107.000775815985,kp24_105.9936,root@105.9936,M0,M+H+,"M0,M+H+"
213,23.8061892,172.952235907192,,,,,
214,23.2339668,129.090997312794,,,,,
215,22.8631476,115.075320890805,,,,,
216,23.2983024,454.23496262013,,,,,
218,22.6827444,132.065511642096,,,,,
219,23.5005588,165.163772024472,,,,,
220,24.38112,572.434640051018,,,,,
221,24.4059744,228.22230224819,,,,,
223,24.745686,607.424374780075,kp2_604.4194,root@604.4194,37Cl 1,M+H+,"37Cl 1,M+H+"
224,24.4517664,111.01199424716,kp1_109.0014,root@109.0014,13C 1,M+H+,"13C 1,M+H+"
225,24.0540558,128.019246843389,,,,,
226,24.71109,208.943796226173,,,,,
227,23.7863448,185.153597142733,,,,,
229,24.351141,156.01418378708,,,,,
230,21.6356262,777.609242942388,kp25_776.6015,root@776.6015,M0,M+H+,"M0,M+H+"
231,22.5475218,216.950630579326,,,,,
232,23.5081818,847.670024703596,,,,,
233,24.5390208,625.435309710761,,,,,
234,24.1209396,182.961806661087,,,,,
235,24.0790452,116.966136097525,,,,,
236,24.5857038,111.968300953977,,,,,
238,24.3064104,193.989099856364,,,,,
239,24.1274484,353.343167252722,,,,,
240,24.8760204,132.003583703642,kp37_129.0006,root@129.0006,34S 1,M+H+,"34S 1,M+H+"
241,23.2439124,283.030468463448,,,,,
242,23.5314042,156.974431278829,,,,,
244,24.32055,172.018484022612,,,,,
245,25.229748,250.954373918954,,,,,
246,23.448138,142.961923055639,kp4_138.9577,root@138.9577,15N 3,M+H+,"15N 3,M+H+"
247,23.886915,258.924950125056,,,,,
248,24.6627204,139.075367692394,,,,,
250,24.84609,114.054909416994,,,,,
251,24.4478238,215.977443963916,,,,,
