num_files	year	N
1	2014	2
1	2017	5
1	2018	3
1	2019	3
1	2020	1
1	2021	2
1	2022	4
1	2024	3
2	2014	3
2	2016	2
2	2017	6
2	2018	3
2	2019	4
2	2020	2
2	2021	5
2	2022	4
2	2024	1
3	2014	8
3	2015	2
3	2017	7
3	2018	5
3	2019	2
3	2020	4
3	2021	2
3	2022	2
3	2024	2
4	2014	13
4	2015	4
4	2016	1
4	2017	10
4	2018	6
4	2019	4
4	2020	2
4	2021	8
4	2022	7
4	2023	1
4	2024	1
5	2014	16
5	2016	2
5	2017	10
5	2018	10
5	2019	11
5	2020	9
5	2021	5
5	2022	5
6	2014	16
6	2016	3
6	2017	9
6	2018	5
6	2019	12
6	2020	5
6	2021	13
6	2022	6
6	2023	1
6	2024	1
7	2014	26
7	2015	1
7	2016	4
7	2017	15
7	2018	9
7	2019	8
7	2020	9
7	2021	20
7	2022	8
7	2023	1
7	2024	3
8	2014	19
8	2016	4
8	2017	10
8	2018	9
8	2019	10
8	2020	12
8	2021	13
8	2022	33
8	2023	2
8	2024	17
9	2014	23
9	2015	1
9	2016	2
9	2017	15
9	2018	10
9	2019	9
9	2020	12
9	2021	14
9	2022	8
9	2023	1
9	2024	4
10	2014	14
10	2016	2
10	2017	11
10	2018	9
10	2019	13
10	2020	7
10	2021	6
10	2022	5
11	2014	22
11	2015	1
11	2016	3
11	2017	13
11	2018	8
11	2019	6
11	2020	12
11	2021	3
11	2022	8
11	2024	3
12	2014	26
12	2015	1
12	2016	5
12	2017	12
12	2018	11
12	2019	16
12	2020	10
12	2021	13
12	2022	11
12	2023	1
12	2024	4
13	2014	11
13	2015	3
13	2016	2
13	2017	9
13	2018	11
13	2019	7
13	2020	6
13	2021	11
13	2022	8
13	2024	3
14	2014	32
14	2016	5
14	2017	17
14	2018	13
14	2019	17
14	2020	14
14	2021	23
14	2022	10
14	2024	12
15	2014	19
15	2015	2
15	2016	2
15	2017	13
15	2018	11
15	2019	7
15	2020	9
15	2021	13
15	2022	7
15	2023	1
15	2024	4
16	2014	24
16	2015	1
16	2016	2
16	2017	21
16	2018	12
16	2019	16
16	2020	16
16	2021	18
16	2022	15
16	2024	7
17	2014	21
17	2015	3
17	2016	4
17	2017	17
17	2018	19
17	2019	13
17	2020	15
17	2021	21
17	2022	19
17	2023	1
17	2024	5
18	2014	28
18	2015	1
18	2016	3
18	2017	17
18	2018	11
18	2019	11
18	2020	18
18	2021	12
18	2022	13
18	2024	8
19	2014	39
19	2015	2
19	2016	4
19	2017	18
19	2018	12
19	2019	19
19	2020	17
19	2021	18
19	2022	18
19	2024	15
20	2014	26
20	2016	3
20	2017	18
20	2018	14
20	2019	14
20	2020	15
20	2021	24
20	2022	14
20	2023	1
20	2024	3
21	2014	30
21	2015	1
21	2016	3
21	2017	15
21	2018	14
21	2019	15
21	2020	12
21	2021	30
21	2022	13
21	2024	8
22	2014	28
22	2015	3
22	2016	5
22	2017	20
22	2018	17
22	2019	19
22	2020	18
22	2021	24
22	2022	10
22	2024	9
23	2014	34
23	2015	2
23	2016	3
23	2017	20
23	2018	20
23	2019	24
23	2020	21
23	2021	36
23	2022	17
23	2023	1
23	2024	6
24	2014	46
24	2015	3
24	2016	2
24	2017	25
24	2018	19
24	2019	21
24	2020	20
24	2021	29
24	2022	17
24	2024	9
25	2014	45
25	2015	3
25	2016	2
25	2017	20
25	2018	22
25	2019	19
25	2020	24
25	2021	31
25	2022	23
25	2024	9
26	2014	36
26	2016	7
26	2017	17
26	2018	16
26	2019	22
26	2020	21
26	2021	32
26	2022	20
26	2023	1
26	2024	10
27	2014	33
27	2015	4
27	2016	5
27	2017	18
27	2018	17
27	2019	21
27	2020	18
27	2021	28
27	2022	20
27	2023	1
27	2024	10
28	2014	34
28	2015	2
28	2016	3
28	2017	19
28	2018	18
28	2019	15
28	2020	20
28	2021	21
28	2022	39
28	2024	24
29	2014	34
29	2015	4
29	2016	6
29	2017	23
29	2018	18
29	2019	13
29	2020	18
29	2021	23
29	2022	22
29	2024	9
30	2014	33
30	2015	5
30	2016	3
30	2017	27
30	2018	16
30	2019	14
30	2020	20
30	2021	23
30	2022	14
30	2023	1
30	2024	12
31	2014	41
31	2015	4
31	2016	5
31	2017	13
31	2018	27
31	2019	22
31	2020	21
31	2021	37
31	2022	19
31	2023	1
31	2024	8
32	2014	42
32	2015	3
32	2016	4
32	2017	18
32	2018	22
32	2019	22
32	2020	13
32	2021	31
32	2022	21
32	2023	2
32	2024	11
33	2014	35
33	2016	4
33	2017	16
33	2018	12
33	2019	19
33	2020	18
33	2021	25
33	2022	13
33	2024	8
34	2014	48
34	2015	3
34	2016	7
34	2017	25
34	2018	20
34	2019	27
34	2020	20
34	2021	25
34	2022	18
34	2023	1
34	2024	10
35	2014	41
35	2015	5
35	2016	6
35	2017	27
35	2018	22
35	2019	21
35	2020	21
35	2021	28
35	2022	20
35	2023	1
35	2024	12
36	2014	52
36	2015	2
36	2016	7
36	2017	25
36	2018	25
