num_files	year	N
1	2014	39
1	2015	1
1	2016	8
1	2017	38
1	2018	8
1	2019	10
1	2020	30
1	2021	79
1	2022	100
1	2024	19
2	2014	44
2	2015	1
2	2016	17
2	2017	50
2	2018	16
2	2019	10
2	2020	47
2	2021	108
2	2022	103
2	2023	1
2	2024	20
3	2014	48
3	2015	1
3	2016	9
3	2017	46
3	2018	14
3	2019	9
3	2020	41
3	2021	104
3	2022	122
3	2023	1
3	2024	18
4	2014	53
4	2015	1
4	2016	12
4	2017	50
4	2018	15
4	2019	9
4	2020	48
4	2021	115
4	2022	118
4	2023	1
4	2024	19
5	2014	54
5	2015	3
5	2016	10
5	2017	49
5	2018	17
5	2019	9
5	2020	54
5	2021	115
5	2022	122
5	2023	1
5	2024	22
6	2014	62
6	2015	2
6	2016	19
6	2017	56
6	2018	17
6	2019	14
6	2020	56
6	2021	130
6	2022	123
6	2023	1
6	2024	27
7	2014	56
7	2015	1
7	2016	13
7	2017	53
7	2018	16
7	2019	11
7	2020	49
7	2021	121
7	2022	120
7	2023	1
7	2024	22
8	2014	71
8	2015	1
8	2016	16
8	2017	54
8	2018	17
8	2019	10
8	2020	57
8	2021	131
8	2022	129
8	2023	1
8	2024	29
9	2014	62
9	2015	3
9	2016	13
9	2017	53
9	2018	17
9	2019	12
9	2020	56
9	2021	127
9	2022	124
9	2023	1
9	2024	25
10	2014	69
10	2015	2
10	2016	21
10	2017	56
10	2018	21
10	2019	13
10	2020	65
10	2021	130
10	2022	129
10	2023	1
10	2024	26
11	2014	70
11	2015	1
11	2016	21
11	2017	54
11	2018	18
11	2019	13
11	2020	59
11	2021	134
11	2022	125
11	2023	1
11	2024	30
12	2014	63
12	2015	3
12	2016	14
12	2017	57
12	2018	20
12	2019	12
12	2020	58
12	2021	138
12	2022	137
12	2023	1
12	2024	24
13	2014	73
13	2015	1
13	2016	20
13	2017	58
13	2018	24
13	2019	13
13	2020	65
13	2021	148
13	2022	128
13	2023	1
13	2024	30
14	2014	68
14	2015	2
14	2016	13
14	2017	55
14	2018	18
14	2019	13
14	2020	59
14	2021	133
14	2022	123
14	2023	1
14	2024	29
15	2014	77
15	2015	2
15	2016	13
15	2017	60
15	2018	21
15	2019	14
15	2020	60
15	2021	137
15	2022	132
15	2023	2
15	2024	27
16	2014	76
16	2015	3
16	2016	20
16	2017	57
16	2018	26
16	2019	12
16	2020	65
16	2021	144
16	2022	126
16	2023	1
16	2024	30
17	2014	69
17	2015	2
17	2016	13
17	2017	59
17	2018	24
17	2019	15
17	2020	60
17	2021	134
17	2022	134
17	2023	1
17	2024	28
18	2014	78
18	2015	2
18	2016	22
18	2017	59
18	2018	19
18	2019	13
18	2020	72
18	2021	150
18	2022	132
18	2023	1
18	2024	33
19	2014	78
19	2015	2
19	2016	20
19	2017	58
19	2018	22
19	2019	11
19	2020	71
19	2021	148
19	2022	142
19	2023	1
19	2024	31
20	2014	63
20	2015	3
20	2016	15
20	2017	57
20	2018	21
20	2019	16
20	2020	68
20	2021	135
20	2022	133
20	2023	1
20	2024	27
21	2014	73
21	2015	2
21	2016	19
21	2017	58
21	2018	20
21	2019	13
21	2020	69
21	2021	143
21	2022	138
21	2023	1
21	2024	30
22	2014	71
22	2015	3
