num_files	N
1	527
2	826
3	1413
4	1192
5	1326
6	1400
7	1419
8	2158
9	1737
10	1970
11	2170
12	2327
13	2722
14	2908
15	2483
16	2962
17	3160
18	2413
19	2650
20	2792
21	3694
22	3173
23	2953
24	3110
25	2820
26	3332
27	3414
28	3863
29	3277
30	3608
31	3940
32	3517
33	3536
34	4649
35	4389
36	4262
37	4327
38	4484
39	3883
40	4152
41	4634
42	4480
43	4092
44	4539
45	5084
46	4318
47	4360
48	4926
49	4321
50	4968
51	4441
52	5234
53	5089
54	4707
55	5113
56	5490
57	4834
58	5413
59	5708
60	5805
61	5774
62	5184
63	4939
64	6157
65	5657
66	5322
67	5373
68	5137
69	5595
70	5382
71	5320
72	5794
73	5680
74	6034
75	5855
76	5768
77	5964
78	5675
79	6626
80	5791
81	5732
82	6078
83	6722
84	6614
85	6326
86	6306
87	6511
88	6210
89	6880
90	6259
91	6024
92	6591
93	5955
94	7078
95	6485
96	6807
97	6563
98	7065
99	7037
100	6579
101	7894
102	7212
103	6702
104	7312
105	6928
106	7534
107	7684
108	7132
109	7151
110	7315
111	6792
112	6629
113	7840
114	7932
115	7080
116	7126
117	8136
118	8007
119	7593
120	7751
121	7937
122	7765
123	7115
124	8513
125	7641
126	7936
127	7826
128	7866
129	7872
130	7141
131	7717
132	7845
133	8144
134	7311
135	7818
136	8310
137	8493
138	8003
139	8997
140	8140
141	8095
142	8226
143	8399
144	8538
145	8219
146	8183
147	8477
148	8279
149	8524
150	8231
151	9294
152	8115
153	8541
154	8633
155	8684
156	9494
157	9352
158	9036
159	8675
160	9483
161	8898
162	9296
163	9036
164	8954
165	9323
166	8491
167	8990
168	8906
169	8887
170	8750
171	9545
172	8956
173	9543
174	8844
175	9151
176	9234
177	8839
178	9359
179	9292
180	8912
181	9239
182	9954
183	9165
184	9143
185	9616
186	8920
187	9651
188	9028
189	9442
190	9564
191	9786
192	10080
193	9616
194	10049
195	10046
196	9942
197	10150
198	10475
199	10480
200	9808
201	8890
202	10061
203	9627
204	9632
205	10266
206	9776
207	11216
208	10088
209	9792
210	11046
211	10476
212	10761
213	10432
214	10501
215	11057
216	10479
217	9779
218	10191
219	9959
220	10436
221	10742
222	9906
223	9869
224	10168
225	10739
226	10913
227	10410
228	9711
229	10454
230	10616
231	10384
232	10660
233	10430
234	10695
235	10567
236	11002
237	11066
238	11377
239	11073
240	10681
241	10407
242	10598
243	11665
244	10867
245	10761
246	11247
247	11213
248	11359
249	10944
250	10694
251	11696
252	11095
253	11147
254	11409
255	11555
256	11524
257	10553
258	11428
259	11248
260	11463
261	11712
262	11614
263	10754
264	10682
265	11881
266	11216
267	11733
268	11337
269	11982
270	11461
271	11209
272	12594
273	11560
274	12055
275	11635
276	11416
277	11694
278	11813
279	12050
280	11510
281	12083
282	11686
283	11319
284	11675
285	11800
286	12349
287	11484
288	11687
289	11868
290	12472
291	11804
292	11073
293	11926
294	12160
295	12596
296	11871
297	11691
298	12539
299	12497
300	11211
301	12705
302	11946
303	12548
304	12326
305	12767
306	12598
307	12627
308	11991
309	12588
310	12146
311	12181
312	11883
