num_files	N
1	4134
2	6733
3	7443
4	8447
5	11568
6	11893
7	11065
8	15332
9	12230
10	13934
11	13964
12	15744
13	16556
14	15922
15	17617
16	18379
17	18924
18	20324
19	19584
20	21755
21	19581
22	20614
23	20939
24	20009
25	21501
26	22575
27	24507
28	23387
29	24676
30	23384
31	23562
32	23886
33	26027
34	24983
35	26060
36	25178
37	27297
38	25402
39	27721
40	25902
41	26338
42	27309
43	28126
44	26607
45	26713
46	28794
47	27362
48	27375
49	27462
50	28894
51	29356
52	30537
53	31295
54	28336
55	30822
56	31765
57	30436
58	30970
59	32451
60	31933
61	30653
62	31235
63	31961
64	31566
65	33688
66	32468
67	33556
68	35065
69	34748
70	35432
71	34838
72	34127
73	34340
74	34521
75	35221
76	35506
77	36304
78	35724
79	38005
80	34628
81	38587
82	35603
83	36882
84	37766
85	37637
86	37035
87	37264
88	36537
89	38318
90	38315
91	38176
92	39046
93	37423
94	37947
95	38251
96	39854
97	37895
98	40432
99	40161
100	39488
101	38392
102	41009
103	39393
104	40760
105	40601
106	42387
107	39566
108	39385
109	39765
110	42770
111	42127
112	41788
113	41084
114	41808
115	43295
116	41483
117	41994
118	42935
119	43553
120	43655
121	44160
122	43596
123	43506
124	45451
125	43336
126	42549
127	43606
128	44534
129	45216
130	45407
131	45457
132	44319
133	44403
134	45885
135	44050
136	46142
137	45922
138	43934
139	46455
140	46546
141	45965
142	47014
143	45170
144	47814
145	47546
146	44675
147	48116
148	46189
149	47738
150	47265
151	46300
152	47959
153	47292
154	47078
155	48309
156	48459
157	47837
158	49229
159	46734
160	47524
161	47851
162	48306
163	48971
164	49449
165	50616
166	47272
167	49747
168	48630
169	50375
170	49975
171	50643
172	49697
173	50179
174	49352
175	50761
176	49540
177	50454
178	51268
179	50548
180	51160
181	49424
182	51999
183	51029
184	51381
185	52332
186	51707
187	51173
188	52226
189	51579
190	52522
191	51798
192	52173
193	52585
194	53240
195	52090
196	52805
197	52381
198	53422
199	53912
200	53357
201	52726
202	53176
203	53283
204	54305
205	54163
206	54216
207	53401
208	54547
209	54331
210	53065
211	55033
212	54360
213	53094
214	53251
215	54884
216	55222
217	55551
218	55074
