num_files	year	N
1	2014	39
1	2015	1
1	2016	8
1	2017	20
1	2018	11
1	2019	16
1	2020	20
1	2021	36
1	2022	16
1	2023	4
1	2024	19
2	2014	41
2	2015	1
2	2016	9
2	2017	12
2	2018	12
2	2019	12
2	2020	18
2	2021	50
2	2022	18
2	2023	2
2	2024	17
3	2014	44
3	2015	1
3	2016	11
3	2017	20
3	2018	13
3	2019	16
3	2020	22
3	2021	57
3	2022	19
3	2023	3
3	2024	23
4	2014	65
4	2015	1
4	2016	18
4	2017	20
4	2018	15
4	2019	13
4	2020	24
4	2021	62
4	2022	30
4	2023	2
4	2024	32
5	2014	62
5	2015	2
5	2016	14
5	2017	16
5	2018	16
5	2019	14
5	2020	26
5	2021	70
5	2022	27
5	2023	3
5	2024	25
6	2014	68
6	2015	2
6	2016	16
6	2017	23
6	2018	15
6	2019	17
6	2020	30
6	2021	64
6	2022	25
6	2023	2
6	2024	25
7	2014	95
7	2015	2
7	2016	17
7	2017	29
7	2018	18
7	2019	18
7	2020	38
7	2021	78
7	2022	34
7	2023	3
7	2024	37
8	2014	95
8	2015	2
8	2016	18
8	2017	30
8	2018	22
8	2019	14
8	2020	38
8	2021	78
8	2022	41
8	2023	1
8	2024	33
9	2014	106
9	2015	2
9	2016	19
9	2017	28
9	2018	20
9	2019	18
9	2020	41
9	2021	91
9	2022	36
9	2023	3
9	2024	41
10	2014	68
10	2015	1
10	2016	16
10	2017	29
10	2018	18
10	2019	16
10	2020	30
10	2021	81
10	2022	33
10	2023	2
10	2024	31
11	2014	60
11	2015	1
11	2016	16
11	2017	22
11	2018	19
11	2019	19
11	2020	30
11	2021	80
11	2022	28
11	2023	4
11	2024	28
12	2014	91
12	2015	2
12	2016	20
12	2017	31
12	2018	20
12	2019	20
12	2020	36
12	2021	88
12	2022	32
12	2023	4
12	2024	39
13	2014	84
13	2015	2
13	2016	18
13	2017	30
13	2018	21
13	2019	20
13	2020	35
13	2021	90
13	2022	31
13	2023	4
13	2024	33
14	2014	108
14	2015	2
14	2016	19
14	2017	32
14	2018	19
14	2019	17
14	2020	44
14	2021	94
14	2022	39
14	2023	5
14	2024	43
15	2014	113
15	2015	2
15	2016	23
15	2017	29
15	2018	23
15	2019	21
15	2020	43
15	2021	93
15	2022	38
15	2023	4
15	2024	42
16	2014	84
16	2015	2
16	2016	19
16	2017	32
16	2018	23
16	2019	21
16	2020	38
16	2021	95
16	2022	33
16	2023	5
16	2024	34
17	2014	116
17	2015	2
17	2016	24
17	2017	34
17	2018	19
17	2019	22
17	2020	45
17	2021	101
17	2022	40
17	2023	3
17	2024	46
18	2014	104
18	2015	2
18	2016	22
18	2017	35
18	2018	20
18	2019	20
18	2020	34
18	2021	100
18	2022	40
18	2023	5
18	2024	41
19	2014	122
19	2015	2
19	2016	22
19	2017	34
19	2018	21
19	2019	20
19	2020	42
19	2021	103
19	2022	41
19	2023	4
19	2024	42
20	2014	106
20	2015	2
20	2016	21
20	2017	39
20	2018	23
20	2019	19
20	2020	43
20	2021	103
20	2022	44
20	2023	4
20	2024	46
21	2014	113
21	2015	2
21	2016	21
21	2017	30
21	2018	23
21	2019	20
21	2020	41
21	2021	97
21	2022	40
21	2023	5
21	2024	41
22	2014	84
